AppID,Name,Release_Date,Primary_Genre,All_Tags,Price_USD,Discount_Pct,Review_Score_Pct,Total_Reviews,Steam_Deck_Status,Estimated_Owners,24h_Peak_Players
886250,Vegas Infinite by PokerStars,11/10/2023,Casual,Free to Play;VR;Casual;Strategy;Gambling;Card Game;Multiplayer;Sexual Content,0,0,55,0,Unknown,0,171
534380,Dying Light 2 Stay Human: Reloaded Edition,2/3/2022,Action,Open World;Co-op;Zombies;Parkour;Multiplayer;Horror;Gore;Post-apocalyptic;Combat;Survival,59.99,0,76,157901,Unknown,4737030,4223
1942110,Bootstrap Island,3/12/2026,Action,Survival;Adventure;Life Sim;Roguelike;Action;Survival Horror;Open World;VR;Nature;Atmospheric,22.49,10,76,972,Unknown,29160,9
206480,Dungeons & Dragons Online®,6/25/2012,Action,Free to Play;Dungeons & Dragons;RPG;MMORPG;Massively Multiplayer;Fantasy;Adventure;Multiplayer;Action;Dragons,0,0,70,0,Unknown,0,260
220740,Chaos on Deponia,11/6/2012,Adventure,Adventure;Point & Click;Comedy;Singleplayer;Puzzle;Indie;Funny;Story Rich;2D;Great Soundtrack,1.99,90,87,2349,Unknown,70470,11
287700,METAL GEAR SOLID V: THE PHANTOM PAIN,9/1/2015,Action,Stealth;Open World;Action;Story Rich;Tactical;Cinematic;Third Person;Great Soundtrack;Singleplayer;Atmospheric,19.99,0,92,71253,Unknown,2137590,1333
2420110,Horizon Forbidden West™ Complete Edition,3/21/2024,Action,Open World;Singleplayer;Female Protagonist;Action;Exploration;Story Rich;RPG;Post-apocalyptic;Third Person;Sci-fi,59.99,0,84,18657,Unknown,559710,1005
516750,My Summer Car,1/8/2025,Indie,Automobile Sim;Simulation;Open World;Driving;Survival;Realistic;First-Person;Building;Singleplayer;Racing,14.99,0,93,102924,Unknown,3087720,1044
1222690,Dragon Age™ Inquisition,6/4/2020,Action,RPG;Open World;Character Customization;Choices Matter;Fantasy;Story Rich;Singleplayer;Sexual Content;Adventure;Action,9.99,75,71,18480,Unknown,554400,454
3901910,The Liar Princess and the Blind Prince,3/11/2026,Action,Hand-drawn;Puzzle Platformer;Action-Adventure;Action;Cute;Adventure;Comic Book;Atmospheric;Puzzle;Fantasy,13.39,33,94,176,Unknown,5280,0
3819640,Megastore Simulator,2/2/2026,Casual,Simulation;Management;Life Sim;Immersive Sim;Economy;Crafting;Singleplayer;First-Person;Trading;Building,13.99,0,91,505,Unknown,15150,0
2716400,The Rise of the Golden Idol,11/12/2024,Adventure,Mystery;Investigation;Detective;Conspiracy;Adventure;2D;Puzzle;Atmospheric;Choices Matter;Crime,13.99,30,83,3447,Unknown,103410,59
312750,Final Fantasy IV (3D Remake),9/17/2014,RPG,RPG;JRPG;Fantasy;Remake;Story Rich;Classic;Great Soundtrack;Singleplayer;Turn-Based;Turn-Based Combat,6.39,60,83,2629,Unknown,78870,48
2634950,Tokyo Xtreme Racer,9/24/2025,Racing,Racing;Driving;Controller;Singleplayer;3D;Automobile Sim;RPG;Arcade;Vehicular Combat;Open World,49.99,0,88,14472,Unknown,434160,193
1222140,Detroit: Become Human,6/18/2020,Action,Choices Matter;Story Rich;Multiple Endings;Cinematic;Singleplayer;Emotional;Robots;Futuristic;Sci-fi;Adventure,39.99,0,97,199662,Unknown,5989860,2344
3454650,BitCraft Online,6/21/2025,Indie,Early Access;MMORPG;Open World Survival Craft;Idler;Sandbox;Relaxing;Cozy;Point & Click;Base Building;Exploration,15.99,0,73,2846,Unknown,85380,0
